"compound","sent1_modifier","sent1_head","sent2_modifier","sent2_head","sent3_modifier","sent3_head"
"dream ticket","two years later wolstenholme was given his dream when the bbc used its cameras for the world cup finals in england .","two years later wolstenholme was given his ticket when the bbc used its cameras for the world cup finals in england .","clarke and cameron are neck and neck , prompting pressure for them to combine in a ' dream ' .","clarke and cameron are neck and neck , prompting pressure for them to combine in a ' ticket ' .","if i can get all this and it can also be organic , then that is my dream .","if i can get all this and it can also be organic , then that is my ticket ."
"bank account","you can pay with bank transfer directly into our bank . we hold them in the cattle bank in nebraska , usa , and with branches of the hsbc","you can pay with bank transfer directly into our accounts . we hold them in the cattle bank in nebraska , usa , and with branches of the hsbc","away holiday autos and put ¬£ 50 m , ¬£ 100 m , in my bank i would be very , very upset . √¢ ¬ä ¬ù that√¢ ¬ä ¬ô s","away holiday autos and put ¬£ 50 m , ¬£ 100 m , in my account i would be very , very upset . √¢ ¬ä ¬ù that√¢ ¬ä ¬ô s",". "" more and more malware is being written by criminals , designed to steal bank information from innocent computer users , "" continued cluley . "" all internet users need",". "" more and more malware is being written by criminals , designed to steal account information from innocent computer users , "" continued cluley . "" all internet users need"
"insane asylum","rather than come to terms with his alien origins he voluntarily enters an insane .","rather than come to terms with his alien origins he voluntarily enters an asylum .","her half - sister was an inmate of an insane .","her half - sister was an inmate of an asylum .","this often involved undercover work and feigned insanity to get into the insane on blackwell ' s island .","this often involved undercover work and feigned insanity to get into the asylum on blackwell ' s island ."
"critical review","the chapter concludes with a critical of simulation games .","the chapter concludes with a review of simulation games .","you may be asked in the course of your studies to write a critical .","you may be asked in the course of your studies to write a review .","as assessment students provide a research report and a critical of the research which are equally weighted .","as assessment students provide a research report and a review of the research which are equally weighted ."
"gold mine","gardeners watching gordon taylor and guy cooper in action is like stumbling across a tv gold ! apart from their instant star appeal , this is a funny and charming duo","gardeners watching gordon taylor and guy cooper in action is like stumbling across a tv mine ! apart from their instant star appeal , this is a funny and charming duo","demand for locomotives in south africa , which was extremely high at the time with gold being sunk in the free state gold field and the discovery of the evander gold","demand for locomotives in south africa , which was extremely high at the time with mines being sunk in the free state gold field and the discovery of the evander gold","to optimise the potential of our combined uk dealer network , which is a true gold . european distribution is now centralised in lausanne and there are now one national import","to optimise the potential of our combined uk dealer network , which is a true mine . european distribution is now centralised in lausanne and there are now one national import"
"bull market","taking out the recent bull , however , it did not even double in value in the 25 years to 1994 .","taking out the recent market , however , it did not even double in value in the 25 years to 1994 .","the three year bull in equities has certainly boosted the fortunes of these companies by increasing the value of their assets .","the three year market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets .","the directors consider that uranium is in the early stages of a secular bull .","the directors consider that uranium is in the early stages of a secular market ."
"flea market","commission on each listing and sale . some people view the site as an online flea where supply and demand dictate prices . whatever you call it , ebay has built","commission on each listing and sale . some people view the site as an online market where supply and demand dictate prices . whatever you call it , ebay has built","yourself to find the item you took in the magic shop , perhaps at a flea , in your grandmother ' s attic , or in an antique shop . acquire the","yourself to find the item you took in the magic shop , perhaps at a market , in your grandmother ' s attic , or in an antique shop . acquire the","dizzyingly full of stuff - painted , papered , bejeweled or mosaiced - from fun flea paintings and mismatched floral wallpapers to the neon - lit toy octopus funfair ride at the centre","dizzyingly full of stuff - painted , papered , bejeweled or mosaiced - from fun market paintings and mismatched floral wallpapers to the neon - lit toy octopus funfair ride at the centre"
"food market","this would make farmers ' markets the fastest growing sector in the uk food .","this would make farmers ' markets the fastest growing sector in the uk market .","when small british farmers were forced out of the food , they responded by coming to town .","when small british farmers were forced out of the market , they responded by coming to town .","as overseas demand is increasing we are helping local producers get a bigger share of the quality food .","as overseas demand is increasing we are helping local producers get a bigger share of the quality market ."
"smoking gun","cause is often a breakdown in communication or record keeping and the hunt for the smoking ( the post - it - note on the job docket ) is the only way proof can be","cause is often a breakdown in communication or record keeping and the hunt for the gun ( the post - it - note on the job docket ) is the only way proof can be","april a facility near baghdad that a us officer had said might finally be "" smoking "" evidence of iraqi chemical weapons production turned out to contain pesticide , not sarin","april a facility near baghdad that a us officer had said might finally be "" gun "" evidence of iraqi chemical weapons production turned out to contain pesticide , not sarin","neo - cons move quickly on iran progress of the pretext * britain finds iraq ' s ' smoking ' : a top - secret missile * iraq weapons hunters drop outdated leads new world order","neo - cons move quickly on iran progress of the pretext * britain finds iraq ' s ' gun ' : a top - secret missile * iraq weapons hunters drop outdated leads new world order"
"memory lane","sussex county council ' s children ' s services as "" excel more ¬ª trip down memory from the early 1940 ' s when beaches were a heavily defended no go area ,","sussex county council ' s children ' s services as "" excel more ¬ª trip down lane from the early 1940 ' s when beaches were a heavily defended no go area ,","80 . this is a droll website . it really is a walk down the memory of dis - functional , bitter failures . are we all growing old dis - gracefully with the punk","80 . this is a droll website . it really is a walk down the lane of dis - functional , bitter failures . are we all growing old dis - gracefully with the punk","behind a hotel . the station hotel if i remember correctly . great trip down memory with the virtual tour . posted by dave at 0 5 / 0 8 /","behind a hotel . the station hotel if i remember correctly . great trip down lane with the virtual tour . posted by dave at 0 5 / 0 8 /"
"eager beaver","eric was being an eager and left work late .","eric was being an beaver and left work late .","eager willing to learn your job for less pay are almost always waiting in the wings .","beavers willing to learn your job for less pay are almost always waiting in the wings .","if you are a really eager you can pre - order the dvd now from either of the below retailers .","if you are a really beaver you can pre - order the dvd now from either of the below retailers ."
"glass ceiling","women are continuing to slowly break through the glass of uk business and increase their company ' s profitability , according to new research .","women are continuing to slowly break through the ceiling of uk business and increase their company ' s profitability , according to new research .","described as "" the woman who cracked the bbc ' s glass "" , she has recently published her autobiography under the title of woman of today .","described as "" the woman who cracked the bbc ' s ceiling "" , she has recently published her autobiography under the title of woman of today .","if a woman fails to get promoted , she ' s hit the ' glass ' .","if a woman fails to get promoted , she ' s hit the ' ceiling ' ."
"inner circle","he interviewed many sporting wives and partners and gradually infiltrated an often secretive inner .","he interviewed many sporting wives and partners and gradually infiltrated an often secretive circle .","he started writing about film , and quickly became part of the inner of legendary critic pauline kael .","he started writing about film , and quickly became part of the circle of legendary critic pauline kael .","formal or informal contacts with the prime minister or his inner are now greatly prized by the persuaders .","formal or informal contacts with the prime minister or his circle are now greatly prized by the persuaders ."
"crash course","continued on its ground level flight a skein of geese came flying across on a crash and both had to take emergency manoeuvres to avoid each other - the soldier sat","continued on its ground level flight a skein of geese came flying across on a course and both had to take emergency manoeuvres to avoid each other - the soldier sat","work on a live account with a real client . "" it ' s a two - week crash focusing on what it ' s like to work in a large agency , packed with","work on a live account with a real client . "" it ' s a two - week course focusing on what it ' s like to work in a large agency , packed with","from the past . the coalition provisional authority in baghdad seems to be an on - site crash , although many leave before learning even the core lessons . nato , meanwhile ,","from the past . the coalition provisional authority in baghdad seems to be an on - site course , although many leave before learning even the core lessons . nato , meanwhile ,"
"radioactive waste","the london dumping convention halted all ocean dumping of radioactive .","the london dumping convention halted all ocean dumping of waste .","if you burn coal without any kind of pollution control you get large amounts of ash and sulphur ( and radioactive from natural uranium decay in the coal ) .","if you burn coal without any kind of pollution control you get large amounts of ash and sulphur ( and waste from natural uranium decay in the coal ) .","the european community has adopted regulations on the transboundary movement of radioactive .","the european community has adopted regulations on the transboundary movement of wastes ."
"graduate student","as a dunn student , you also become a member of a wider community of graduate on the hospital site . we ' ve recently begun to have closer contact with students","as a dunn student , you also become a member of a wider community of students on the hospital site . we ' ve recently begun to have closer contact with students","has concentrated on fish , conducted mainly by overseas scientists and latterly , by malawian graduate ( dnpw , pers . comm . 1995 ) . conservation value lake malawi national park","has concentrated on fish , conducted mainly by overseas scientists and latterly , by malawian students ( dnpw , pers . comm . 1995 ) . conservation value lake malawi national park","draw to the attention of the mcr committee the welfare interests of graduate , and the implications of its policies for welfare issues ; organise such events concerning","draw to the attention of the mcr committee the welfare interests of students , and the implications of its policies for welfare issues ; organise such events concerning"
"middle school","after completing middle , he moved on to the high school .","after completing school , he moved on to the high school .","how well can one teach a young elementary or middle level child to manipulate symbols ?","how well can one teach a young elementary or school level child to manipulate symbols ?","by interacting with american inventors and entrepreneurs , middle students learn firsthand about history , technology , and science .","by interacting with american inventors and entrepreneurs , school students learn firsthand about history , technology , and science ."
"number crunching","for developing speaking and listening skills ! and then there are those who enjoy the number . kieran and joe in miss moran ' s class ensure that our score boards are","for developing speaking and listening skills ! and then there are those who enjoy the crunching . kieran and joe in miss moran ' s class ensure that our score boards are",": 30 . trying to do dfs at that time of day after all the number you ' ve already had , just was n ' t for me i ' m afraid , but",": 30 . trying to do dfs at that time of day after all the crunching you ' ve already had , just was n ' t for me i ' m afraid , but","a large chunk of club funds . prepare properly and get professional help with the number and you may be pleasantly surprised by the reaction from the management team . of","a large chunk of club funds . prepare properly and get professional help with the crunching and you may be pleasantly surprised by the reaction from the management team . of"
"calendar month","bookings made within 2 calendar of the holiday start date must be paid in full .","bookings made within 2 months of the holiday start date must be paid in full .","application forms must arrive with elcas within one calendar of the end of your chosen registration window .","application forms must arrive with elcas within one month of the end of your chosen registration window .","research students may begin their studies on the first day of any calendar .","research students may begin their studies on the first day of any month ."
"insider trading","the securities commission of new zealand has settled its proceedings alleging insider at provenco , the technology company .","the securities commission of new zealand has settled its proceedings alleging trading at provenco , the technology company .","they detect a sizeable impact of insider on market volatility .","they detect a sizeable impact of trading on market volatility .","players can engage in stock manipulation , corporate raiding and insider to take advantage of their opponents and win the day !","players can engage in stock manipulation , corporate raiding and trading to take advantage of their opponents and win the day !"
"carpet bombing","the carpet in afghanistan confirms the dreadful power of the american military machine .","the bombing in afghanistan confirms the dreadful power of the american military machine .","a month of carpet ended in 40 hours of the most concentrated killing seen since hiroshima .","a month of bombing ended in 40 hours of the most concentrated killing seen since hiroshima .","in a continent that had recently experienced carpet and the death - camps the resonance of titus was obvious .","in a continent that had recently experienced bombing and the death - camps the resonance of titus was obvious ."
"tennis elbow","for severe tennis that has failed to heal , your doctor might suggest an mri scan .","for severe elbow that has failed to heal , your doctor might suggest an mri scan .","tennis can be initiated by an acute injury , but more commonly the onset is insidious .","elbow can be initiated by an acute injury , but more commonly the onset is insidious .","tennis is the consequence of a variable combination of acute and chronic overuse of the wrist extensors .","elbow is the consequence of a variable combination of acute and chronic overuse of the wrist extensors ."
"blood bath","is this the first blow in the upcoming civil war , and the blood which may follow ?","is this the first blow in the upcoming civil war , and the bath which may follow ?","what was meant to be the perfect crime turns into a nasty gang war resulting in a blood on the glorious streets of 1950s paris .","what was meant to be the perfect crime turns into a nasty gang war resulting in a bath on the glorious streets of 1950s paris .","kurds now stuck in kirkuk fear the same kind of blood if iraqi troops decide to stand and fight any u . s . military assault on the city , ali said .","kurds now stuck in kirkuk fear the same kind of bath if iraqi troops decide to stand and fight any u . s . military assault on the city , ali said ."
"low profile","if you are a freelance , you could send your details and thus get some low publicity for a very low fee - free , in fact .","if you are a freelance , you could send your details and thus get some profile publicity for a very low fee - free , in fact .","i ' ve written the guestbook myself in asp and it was the shock that someone was targeting my low site which i found a bit creepy .","i ' ve written the guestbook myself in asp and it was the shock that someone was targeting my profile site which i found a bit creepy .","some 7 , 000 police officers were on call but security forces kept a low along the rally ' s route .","some 7 , 000 police officers were on call but security forces kept a profile along the rally ' s route ."
"pain killer","there may be symptoms such as bleeding or persistent pain not relieved by simple pain .","there may be symptoms such as bleeding or persistent pain not relieved by simple killers .","rheumatoid arthritis should be treated by a doctor who would start with anti - inflammatory pain such as ibuprofen .","rheumatoid arthritis should be treated by a doctor who would start with anti - inflammatory killers such as ibuprofen .","often there is a chronic shortage of medicine , of pain , even of anaesthetics .","often there is a chronic shortage of medicine , of killers , even of anaesthetics ."
"speed trap","the organisation responsible for the speed in derby refused to bow to pressure from outraged motorists caught on camera .","the organisation responsible for the trap in derby refused to bow to pressure from outraged motorists caught on camera .","they are very accurate and means that the police can set up a speed in a matter of moments .","they are very accurate and means that the police can set up a trap in a matter of moments .","anstey had passed through the speed at 188 mph ( 300 . 6 km / h ) .","anstey had passed through the trap at 188 mph ( 300 . 6 km / h ) ."
"computer program","over 6 years he developed a computer to produce puzzles quickly .","over 6 years he developed a program to produce puzzles quickly .","an example might be the amount of memory taken up by a computer .","an example might be the amount of memory taken up by a program .","how then is the correctness of a computer ever to be established ?","how then is the correctness of a program ever to be established ?"
"market place","my client is one of the most recognised brands in the financial services market .","my client is one of the most recognised brands in the financial services place .","is your product a premium product that costs more that the average in the market ?","is your product a premium product that costs more that the average in the place ?","the can makers have introduced three new slim size cans into the market this year .","the can makers have introduced three new slim size cans into the place this year ."
"front runner",". on 11 october 2005 the first round of presidential elections were held . the front george weah led the field with 28 % followed by former world bank official ellen",". on 11 october 2005 the first round of presidential elections were held . the runner george weah led the field with 28 % followed by former world bank official ellen","an unsettled run of results and although they were never likely to be amongst the front this season it is something of a shock to see them hovering just above the","an unsettled run of results and although they were never likely to be amongst the runners this season it is something of a shock to see them hovering just above the","confirm the identity of the buyer , but kruidvat appears to have emerged as the front . top of the page call on lords to scrap clause 67 the association of","confirm the identity of the buyer , but kruidvat appears to have emerged as the runner . top of the page call on lords to scrap clause 67 the association of"
"game plan","and doing showcases , i had lots of irons in the fire . the only game i had was when to finish university , which was when everyone else was getting","and doing showcases , i had lots of irons in the fire . the only plan i had was when to finish university , which was when everyone else was getting","a replay would be required . one could be excused for wondering if nelson ' s game from the earliest stages had been to hope for a potentially lucrative replay and the","a replay would be required . one could be excused for wondering if nelson ' s plan from the earliest stages had been to hope for a potentially lucrative replay and the","had requested that she do a cinderella party and was very pleased with all the game in line with the theme . i know that all the kids enjoyed themselves and","had requested that she do a cinderella party and was very pleased with all the plans in line with the theme . i know that all the kids enjoyed themselves and"
"ivory tower",". "" to get two letters passing it further down the line underlines the rather ivory approach by senior officers . "" yesterday , a police spokesman said : "" bedfordshire",". "" to get two letters passing it further down the line underlines the rather tower approach by senior officers . "" yesterday , a police spokesman said : "" bedfordshire","recently the globalization adversaries emerged ; the experts at the universities had to abandon their ivory and present their research at the market place in order to rebuild public confidence .","recently the globalization adversaries emerged ; the experts at the universities had to abandon their towers and present their research at the market place in order to rebuild public confidence .","may seem to be with this exhibition a case of moving art out of one ivory ( namely the gallery ) into another ( the theatre ) , i for one","may seem to be with this exhibition a case of moving art out of one tower ( namely the gallery ) into another ( the theatre ) , i for one"
"subway system","the road above leaks into the catacombs of a subway .","the road above leaks into the catacombs of a system .","a subway which was abandoned before it was even used .","a system which was abandoned before it was even used .","new york ' s subway carries 4 . 5 million riders daily .","new york ' s system carries 4 . 5 million riders daily ."
"cotton candy","the cotton had melted , and although he was a bit sticky he looked ok .","the candy had melted , and although he was a bit sticky he looked ok .","afraid your tot is being dumbed - down by too much cotton and miniature golf ?","afraid your tot is being dumbed - down by too much candy and miniature golf ?","as soon as they arrived at the circus , adam bought popcorn and delicious cotton .","as soon as they arrived at the circus , adam bought popcorn and delicious candy ."
"eye candy","claw . the central characters are great too , eriko sato is more than just eye as honey ( although she is absolutely stunning , and spends several scenes running around","claw . the central characters are great too , eriko sato is more than just candy as honey ( although she is absolutely stunning , and spends several scenes running around","pm looks totally ace , nice work guys ! the new theme is some nice eye . fe _ de _ 7 jun 10 2006 , 10 : 16 pm quote ( moore @","pm looks totally ace , nice work guys ! the new theme is some nice candy . fe _ de _ 7 jun 10 2006 , 10 : 16 pm quote ( moore @","web . some images are simply there to make the document look nice ( "" eye "" as some people call them ) . some images may not be essential to","web . some images are simply there to make the document look nice ( "" candy "" as some people call them ) . some images may not be essential to"
"climate change","more energy - saving cars . last and not least , at the international summit meeting on climate in kyoto in 1997 , all countries agreed to make cuts in their production of","more energy - saving cars . last and not least , at the international summit meeting on change in kyoto in 1997 , all countries agreed to make cuts in their production of",". further declines in trans - saharan migrants might be expected with climate , because its interactions with human exploitation are widespread , though poorly understood . examples include : changes in",". further declines in trans - saharan migrants might be expected with change , because its interactions with human exploitation are widespread , though poorly understood . examples include : changes in","wait until the predictions are more certain before taking action to control or prepare for climate ? this is not a scientific question and , hence , outside the remit of","wait until the predictions are more certain before taking action to control or prepare for change ? this is not a scientific question and , hence , outside the remit of"
"traffic jam","but then picture him trying to drive through the traffic on sunday morning in downtown austin .","but then picture him trying to drive through the jam on sunday morning in downtown austin .","we got stuck in a traffic caused by a crash during rush hour and arrived just before lunch .","we got stuck in a jam caused by a crash during rush hour and arrived just before lunch .","a further advantage of on - site accommodation is that guests can avoid the traffic which blight the city .","a further advantage of on - site accommodation is that guests can avoid the jams which blight the city ."
"fish story","i have a fish to tell you .","i have a story to tell you .","the big fish , the whale that swallowed jona ?","the big story , the whale that swallowed jona ?","my funny fish is about my algae eater named vac - short for vaccuum cleaner .","my funny story is about my algae eater named vac - short for vaccuum cleaner ."
"research project","to the european commission ' s 6 th framework programme . he also managed fp 6 research on ethics and contributed to eu policy development on ethics . after leaving the commission","to the european commission ' s 6 th framework programme . he also managed fp 6 projects on ethics and contributed to eu policy development on ethics . after leaving the commission","that information as set out in this privacy policy . young lives is an international research that is recording changes in child poverty over 15 years . author ' s home page","that information as set out in this privacy policy . young lives is an international project that is recording changes in child poverty over 15 years . author ' s home page","joined the research department at kraft foods where i worked on both continuous and branded research . a key part of my role was supporting the brand team with actionable consumer","joined the research department at kraft foods where i worked on both continuous and branded projects . a key part of my role was supporting the brand team with actionable consumer"
"crocodile tear","one less hour for debate , so those on the tory front bench are shedding crocodile . listening to the debates on some of the amendments this afternoon , i felt","one less hour for debate , so those on the tory front bench are shedding tears . listening to the debates on some of the amendments this afternoon , i felt","in the church of the holy wisdom has not yet been completed . and whatever crocodile are shed over 1204 , the modern west will certainly do nothing to prevent the","in the church of the holy wisdom has not yet been completed . and whatever tears are shed over 1204 , the modern west will certainly do nothing to prevent the","new gas supplies in algeria . it can be said with certainty that behind the crocodile britain and the european powers lie the economic and strategic interests of the monopolies .","new gas supplies in algeria . it can be said with certainty that behind the tears britain and the european powers lie the economic and strategic interests of the monopolies ."
"cellular phone","pc tries to improve on cellular privacy and security by incorporating cryptographic techniques .","pc tries to improve on phone privacy and security by incorporating cryptographic techniques .","when your cellular batteries aren ' t kept fully charged , it will die in the middle of conversations .","when your phone batteries aren ' t kept fully charged , it will die in the middle of conversations .","your cellular needs to be protected from water , extreme temperatures , scratches , and unnecessary falls .","your phone needs to be protected from water , extreme temperatures , scratches , and unnecessary falls ."
"health check","some exhibitors also provided health for staff .","some exhibitors also provided checks for staff .","why do people have an annual health ?","why do people have an annual check ?","this was a us study of patients who attended a preventive medicine clinic for health .","this was a us study of patients who attended a preventive medicine clinic for checks ."
"rat run","indicates that the problem in brookside is that it is used as a cut - through ( rat ) . by far the majority of motor vehicles using this narrow street are not","indicates that the problem in brookside is that it is used as a cut - through ( run ) . by far the majority of motor vehicles using this narrow street are not","about speeding vehicles , including the delivery lorries and the road being used as a rat . john stressed that everyone with views on the proposals should write to the planning","about speeding vehicles , including the delivery lorries and the road being used as a run . john stressed that everyone with views on the proposals should write to the planning","a beautiful , tiny and completely unspoilt village in northamptonshire which is used as a rat between our local town and a much larger city . i have absolutely no objection","a beautiful , tiny and completely unspoilt village in northamptonshire which is used as a run between our local town and a much larger city . i have absolutely no objection"
"prison term","failure to pay will result in a 5 year prison .","failure to pay will result in a 5 year term .","extortion carries a prison of one to 15 years .","extortion carries a term of one to 15 years .","her first prison was for a book on freedom of speech .","her first term was for a book on freedom of speech ."
"rush hour","subway stations also were hit in up to seven apparently coordinated blasts in the morning rush . trackback uri rss feed for comments on this post 1 comment ¬ª trackback by","subway stations also were hit in up to seven apparently coordinated blasts in the morning hour . trackback uri rss feed for comments on this post 1 comment ¬ª trackback by","a whole day of diving . i am already a convert to the reef ' s rush ! sunset is invariably a time of day when divers are dry . dusk diving","a whole day of diving . i am already a convert to the reef ' s hour ! sunset is invariably a time of day when divers are dry . dusk diving","route at the northern end of the city centre . in contrast in the morning rush , this leopard is on a short and looping round in the octagon . the","route at the northern end of the city centre . in contrast in the morning hour , this leopard is on a short and looping round in the octagon . the"
"biological clock","the biological ticks — but slowly it is not so bad to delay having a first baby until your thirties , according to professor john mirowsky .","the clock ticks — but slowly it is not so bad to delay having a first baby until your thirties , according to professor john mirowsky .","closely allied to these theories is that of the biological with triggers at certain stages of development for the ageing process","closely allied to these theories is that of the clock with triggers at certain stages of development for the ageing process","in mammals , the biological is controlled from the suprachaismatic nucleus ( scn ) , an area of the brain in the hypothalamus .","in mammals , the clock is controlled from the suprachaismatic nucleus ( scn ) , an area of the brain in the hypothalamus ."
"grandfather clock","died . details of any special gifts you wish to make ( e . g . jewellery , grandfather etc . ) details of any legacies you wish to make ( e . g . ¬£ 500 to","died . details of any special gifts you wish to make ( e . g . jewellery , clock etc . ) details of any legacies you wish to make ( e . g . ¬£ 500 to","wrapped up and in a box under a stone slab in the dairy . the grandfather fell to the floor . within a few days tarpaulin had been spread over the","wrapped up and in a box under a stone slab in the dairy . the clock fell to the floor . within a few days tarpaulin had been spread over the","a firm favourite , with english oak being among the most popular finishes . a grandfather is a classic heirloom , and decent working examples from the 17 th and 18","a firm favourite , with english oak being among the most popular finishes . a clock is a classic heirloom , and decent working examples from the 17 th and 18"
"skin tone","choose a colour that is similar to your own skin and remember , ' less is more ' .","choose a colour that is similar to your own tone and remember , ' less is more ' .","the benefits of exercise are well known and include conditioning of the heart , lungs and muscles as well as improved skin .","the benefits of exercise are well known and include conditioning of the heart , lungs and muscles as well as improved tone .","i like the warm feel to the photo and the skin look natural .","i like the warm feel to the photo and the tones look natural ."
"monkey business","the lessons . ' in o ' brien ' s case the prosecutor said "" clearly monkey "" had occurred with police notes . in interrogation i was offered ¬£ 10 , 000 to","the lessons . ' in o ' brien ' s case the prosecutor said "" clearly business "" had occurred with police notes . in interrogation i was offered ¬£ 10 , 000 to",". architecturally magnificent , it is as clean as a whistle , and absolutely no monkey goes on . what ' s more , the entire 16 stages of the treatment are",". architecturally magnificent , it is as clean as a whistle , and absolutely no business goes on . what ' s more , the entire 16 stages of the treatment are","lenses and filters . but if they√ø¬æ ¬¥ re not honests sooner or later their monkey is gonna stop . thankx to you all ! ! ! ! reply from ian date 22 /","lenses and filters . but if they√ø¬æ ¬¥ re not honests sooner or later their business is gonna stop . thankx to you all ! ! ! ! reply from ian date 22 /"
"kangaroo court","shall not yield in our quest for justice and we shall refuse to acknowledge the kangaroo which will facilitate this farce of amnesty . rest assured we shall fight ever avenue","shall not yield in our quest for justice and we shall refuse to acknowledge the courts which will facilitate this farce of amnesty . rest assured we shall fight ever avenue",", the trial would seem to the world to be as unfair as saddam ' s kangaroo . that is not to say american justice is unfair . in fact , the",", the trial would seem to the world to be as unfair as saddam ' s courts . that is not to say american justice is unfair . in fact , the","¬ó including the despicable st ¬∏ rmer . to hitler the trial smacked of a kangaroo , and he told other party leaders like ley that he felt an injustice had","¬ó including the despicable st ¬∏ rmer . to hitler the trial smacked of a court , and he told other party leaders like ley that he felt an injustice had"
"big fish","work hard and become a big in a small pool .","work hard and become a fish in a small pool .","the criminals are after big than journalists , and usually concentrate on the richer countries .","the criminals are after fishes than journalists , and usually concentrate on the richer countries .","the big will always claim the best lies , with smaller fish in progressively less pleasant lies .","the fish will always claim the best lies , with smaller fish in progressively less pleasant lies ."
"leap year","it comprises 12 months of 30 days , plus 5 days ( 6 in a leap ) ; each month has 3 decades of 10 days .","it comprises 12 months of 30 days , plus 5 days ( 6 in a year ) ; each month has 3 decades of 10 days .","to correct this , every 100th year ( but not every 400th year ) was excluded as a leap .","to correct this , every 100th year ( but not every 400th year ) was excluded as a year .","this way of reckoning leap , which we use today , is the gregorian calendar .","this way of reckoning years , which we use today , is the gregorian calendar ."
"agony aunt","feel as if this baby is more important than they are . "" counsellor and agony suzie hayman , author of the relate guide to second families ( vermilion ) ,","feel as if this baby is more important than they are . "" counsellor and aunt suzie hayman , author of the relate guide to second families ( vermilion ) ,","the bottom fell out of the knob business . bob ' s probs - bob ' s agony phone line went out of business because bob kept laughing at peoples problems . your","the bottom fell out of the knob business . bob ' s probs - bob ' s aunt phone line went out of business because bob kept laughing at peoples problems . your","challenging test . i think it must sound as if it were written to an agony asking for help . ps . i have the same problems writing in my own","challenging test . i think it must sound as if it were written to an aunt asking for help . ps . i have the same problems writing in my own"
"mental disorder","freud returned from paris determined to study and treat mental .","freud returned from paris determined to study and treat disorders .","they had complaints of alcohol poisoning , mental and liver disease .","they had complaints of alcohol poisoning , disorders and liver disease .","her clinical experience has been on children with physical disabilities and mental .","her clinical experience has been on children with physical disabilities and disorders ."
"tear gas","the police surrounded us , throwing more tear and beating who ever they could catch .","the police surrounded us , throwing more gas and beating who ever they could catch .","the soldiers either experienced something they really objected to , or were ordered to disperse people , and suddenly tear started to fly .","the soldiers either experienced something they really objected to , or were ordered to disperse people , and suddenly gas started to fly .","he carried a nickel plated 32 - caliber revolver and a tear pen as protection .","he carried a nickel plated 32 - caliber revolver and a gas pen as protection ."
"time difference","the time with the netherlands was five hours .","the difference with the netherlands was five hours .","problems can be highlighted earlier and more easily , as there is no language barrier or time to deal with .","problems can be highlighted earlier and more easily , as there is no language barrier or difference to deal with .","our daughter had flown from london to los angeles the previous day and , despite the time , i called our son ' s la home to make sure they were safe .","our daughter had flown from london to los angeles the previous day and , despite the difference , i called our son ' s la home to make sure they were safe ."
"closed book","the mentality of the average foreigner is a closed to us .","the mentality of the average foreigner is a book to us .","i now say with the benefit of hindsight , it was a closed to me .","i now say with the benefit of hindsight , it was a book to me .","the geography of scotland was a closed to me .","the geography of scotland was a book to me ."
"hard drive","a faster cpu or a faster hard might speed up suspend and resume .","a faster cpu or a faster drive might speed up suspend and resume .","a good option is to add a second hard and dedicate it to storing digital audio recordings .","a good option is to add a second drive and dedicate it to storing digital audio recordings .","all these temporary files will slow down your computer , take up space on your hard ( memory ) .","all these temporary files will slow down your computer , take up space on your drive ( memory ) ."
"phone book","the phone will tell you where the nearest centre is to you .","the book will tell you where the nearest centre is to you .","can i say that i know the people of a town by inspecting the phone ?","can i say that i know the people of a town by inspecting the book ?","a typical example of a simple database is a contacts list or phone .","a typical example of a simple database is a contacts list or book ."
"pocket book","all of these are at good prices to suit your pocket .","all of these are at good prices to suit your book .","he gave me some spanish books and a pocket and diary .","he gave me some spanish books and a book and diary .","she had written down the date in her pocket of the day when she dispatched it .","she had written down the date in her book of the day when she dispatched it ."
"record book","all contractors and consultants will be asked to sign a record covering the collection and return of keys .","all contractors and consultants will be asked to sign a book covering the collection and return of keys .","the record must include details of the assets comprised in the estate and their expected realisable values .","the book must include details of the assets comprised in the estate and their expected realisable values .","it will be your responsibility to update your record which will show evidence of your experience and achievements .","it will be your responsibility to update your book which will show evidence of your experience and achievements ."
"life vest","in this way , the vest resembles a typical ' life ' used by boaters .","in this way , the vest resembles a typical ' vest ' used by boaters .","life jackets : each crew member must wear a life at all times when racing and testing .","life jackets : each crew member must wear a vest at all times when racing and testing .","the life under your seat , with built - in whistle and flashlight , is next to useless .","the vest under your seat , with built - in whistle and flashlight , is next to useless ."
"civil marriage","the ban on same - sex civil defines lesbian and gay couples as second - class citizens .","the ban on same - sex marriage defines lesbian and gay couples as second - class citizens .","a civil or civil partnership can be conducted in either a register office or an approved premise licensed by the local authority .","a marriage or civil partnership can be conducted in either a register office or an approved premise licensed by the local authority .","the restaurant also specialises in wedding receptions and is licensed for civil ceremonies .","the restaurant also specialises in wedding receptions and is licensed for marriage ceremonies ."
"front man","john paul ii was an effective front for the catholic church .","john paul ii was an effective man for the catholic church .","he couldn ' t play an instrument but was the perfect choice for a front .","he couldn ' t play an instrument but was the perfect choice for a man .","queen will always be remembered for their enigmatic front , freddie mercury .","queen will always be remembered for their enigmatic man , freddie mercury ."
